sulfur,genotype,cpd,batch,value
S0,wt,G16,3,0.000256912
S0,wt,G16,4,0.000258917
S0,wt,G16,5,0.036153411
S0,bglu28bglu30,G16,1,0.388912862
S0,bglu28bglu30,G16,2,0.726996269
S0,bglu28bglu30,G16,3,1.288993053
S0,bglu28bglu30,G16,4,0.11758317
S0,bglu28bglu30,G16,5,0.23465012
S1500,wt,G17,1,0.17446231
S1500,wt,G17,2,0.185696273
S1500,wt,G17,3,0.145990303
S1500,wt,G17,4,0.143814134
S1500,wt,G17,5,0.20673945
S1500,bglu28bglu30,G17,1,0.163988717
S1500,bglu28bglu30,G17,2,0.22111439
S1500,bglu28bglu30,G17,3,0.283079644
S1500,bglu28bglu30,G17,4,0.222139749
S1500,bglu28bglu30,G17,5,0.22992243
S150,wt,G17,1,0.115818704
S150,wt,G17,2,0.021726525
S150,wt,G17,3,0.037672041
S150,wt,G17,4,0.054081437
S150,wt,G17,5,0.036825597
S150,bglu28bglu30,G17,1,0.109968237
S150,bglu28bglu30,G17,2,0.053506794
S150,bglu28bglu30,G17,3,0.075703547
S150,bglu28bglu30,G17,4,0.085313741
S150,bglu28bglu30,G17,5,0.102326494
S15,wt,G17,1,0.000257207
S15,wt,G17,2,0.000239937
S15,wt,G17,3,0.000253091
S15,wt,G17,4,0.000258884
S15,wt,G17,5,0.000244275
S15,bglu28bglu30,G17,1,0.044574762
S15,bglu28bglu30,G17,2,0.047072785
S15,bglu28bglu30,G17,3,0.058218574
S15,bglu28bglu30,G17,4,0.055955595
S15,bglu28bglu30,G17,5,0.080121867
S0,wt,G17,1,0.000232937
S0,wt,G17,2,0.000247756
S0,wt,G17,3,0.000256912
S0,wt,G17,4,0.000258917
S0,wt,G17,5,0.000256702
S0,bglu28bglu30,G17,1,0.058708381
S0,bglu28bglu30,G17,2,0.064408408
S0,bglu28bglu30,G17,3,0.097841381
S0,bglu28bglu30,G17,4,0.085437019
S0,bglu28bglu30,G17,5,0.040197649
S1500,wt,G18,1,5.120366188
S1500,wt,G18,2,5.902951317
S1500,wt,G18,3,5.865744733
S1500,wt,G18,4,6.040301447
S1500,wt,G18,5,5.151081261
S1500,bglu28bglu30,G18,1,5.427931398
S1500,bglu28bglu30,G18,2,6.56925098
