sulfur,genotype,cpd,batch,value,relative
S150,wt,G13,5,0.018031535,23.415043
S150,bglu28bglu30,G13,1,0.273455303,355.0983045
S150,bglu28bglu30,G13,2,0.199759043,259.3992392
S150,bglu28bglu30,G13,3,0.083782253,108.7963392
S150,bglu28bglu30,G13,4,0.149258041,193.8206236
S150,bglu28bglu30,G13,5,0.129513658,168.1813438
S15,wt,G13,1,0.000257207,0.333998989
S15,wt,G13,2,0.000239937,0.311572732
S15,wt,G13,3,0.000253091,0.328654106
S15,wt,G13,4,0.002794812,3.629232522
S15,wt,G13,5,0.000244275,0.317205431
S15,bglu28bglu30,G13,1,0.379296215,492.5391521
S15,bglu28bglu30,G13,2,0.266832853,346.4986516
S15,bglu28bglu30,G13,3,0.326779825,424.3434333
S15,bglu28bglu30,G13,4,0.295693752,383.9762804
S15,bglu28bglu30,G13,5,0.357659937,464.4431319
S0,wt,G13,1,0.00378122,4.910143581
S0,wt,G13,2,0.000247756,0.321725897
S0,wt,G13,3,0.00278364,3.614725933
S0,wt,G13,4,0.002784961,3.616440288
S0,wt,G13,5,0.028122152,36.51832118
S0,bglu28bglu30,G13,1,0.463271334,601.5859402
S0,bglu28bglu30,G13,2,0.517943239,672.5807266
S0,bglu28bglu30,G13,3,0.556104419,722.1353341
S0,bglu28bglu30,G13,4,0.480410614,623.8423351
S0,bglu28bglu30,G13,5,0.624785024,811.3212671
S1500,wt,G14,1,0.46542915,110.0922406
S1500,wt,G14,2,0.387380275,91.63062184
S1500,wt,G14,3,0.3444573,81.47765546
S1500,wt,G14,4,0.458166795,108.374409
S1500,wt,G14,5,0.458380984,108.4250731
S1500,bglu28bglu30,G14,1,0.406501265,96.15348566
S1500,bglu28bglu30,G14,2,0.371166025,87.79531605
S1500,bglu28bglu30,G14,3,0.340614865,80.56876911
S1500,bglu28bglu30,G14,4,0.294774336,69.72568673
