time,genotype,treatment,cpd,batch,value
48h,wt,BSO_4MSB,SFN-GSH,2,1.531963844
48h,wt,BSO_4MSB,SFN-GSH,3,1.155123603
48h,wt,BSO_4MSB,SFN-GSH,4,1.518806135
00h,wt,4MSB,SFN-rEC,1,8.73E-05
00h,wt,4MSB,SFN-rEC,2,0.000151584
00h,wt,4MSB,SFN-rEC,3,0.000135624
00h,wt,4MSB,SFN-rEC,4,0.000136272
09h,wt,4MSB,SFN-rEC,1,0.002484167
09h,wt,4MSB,SFN-rEC,2,6.08E-05
09h,wt,4MSB,SFN-rEC,3,0.003186312
09h,wt,4MSB,SFN-rEC,4,0.001318289
24h,wt,4MSB,SFN-rEC,1,0.024612652
24h,wt,4MSB,SFN-rEC,2,0.011892983
24h,wt,4MSB,SFN-rEC,3,0.014525405
24h,wt,4MSB,SFN-rEC,4,0.004919676
48h,wt,4MSB,SFN-rEC,1,0.032705709
48h,wt,4MSB,SFN-rEC,2,0.028630964
48h,wt,4MSB,SFN-rEC,3,0.012688842
48h,wt,4MSB,SFN-rEC,4,0.015491322
00h,pad2,4MSB,SFN-rEC,1,0.00011801
00h,pad2,4MSB,SFN-rEC,2,0.000161625
00h,pad2,4MSB,SFN-rEC,3,0.00016234
00h,pad2,4MSB,SFN-rEC,4,0.000138555
09h,pad2,4MSB,SFN-rEC,1,0.000126005
09h,pad2,4MSB,SFN-rEC,2,0.001729524
09h,pad2,4MSB,SFN-rEC,3,0.000133213
09h,pad2,4MSB,SFN-rEC,4,0.001912948
24h,pad2,4MSB,SFN-rEC,1,0.00404729
24h,pad2,4MSB,SFN-rEC,2,0.009630853
24h,pad2,4MSB,SFN-rEC,3,0.002252443
24h,pad2,4MSB,SFN-rEC,4,0.005506492
48h,pad2,4MSB,SFN-rEC,1,0.003660312
48h,pad2,4MSB,SFN-rEC,2,0.008590085
48h,pad2,4MSB,SFN-rEC,3,0.009710727
48h,pad2,4MSB,SFN-rEC,4,0.009413714
00h,wt,BSO_4MSB,SFN-rEC,1,0.000134385
00h,wt,BSO_4MSB,SFN-rEC,2,0.002019064
00h,wt,BSO_4MSB,SFN-rEC,3,0.00014472
00h,wt,BSO_4MSB,SFN-rEC,4,0.000143824
09h,wt,BSO_4MSB,SFN-rEC,1,0.001383197
09h,wt,BSO_4MSB,SFN-rEC,2,0.001340372
09h,wt,BSO_4MSB,SFN-rEC,3,0.000137827
09h,wt,BSO_4MSB,SFN-rEC,4,0.001465872
24h,wt,BSO_4MSB,SFN-rEC,1,0.004598309
24h,wt,BSO_4MSB,SFN-rEC,2,0.005391268
24h,wt,BSO_4MSB,SFN-rEC,3,0.001057964
24h,wt,BSO_4MSB,SFN-rEC,4,0.002198722
48h,wt,BSO_4MSB,SFN-rEC,1,0.011981228
48h,wt,BSO_4MSB,SFN-rEC,2,0.022009635
48h,wt,BSO_4MSB,SFN-rEC,3,0.014007307
48h,wt,BSO_4MSB,SFN-rEC,4,0.009163186
